t,seq,v_cmd,w_cmd,omega_meas_l,omega_meas_r,yaw,yaw_rate,wE_l,wE_r,e_psi_deg,r_err_dps,sigma_err,dw_yaw,lam,omega_ref_l,omega_ref_r,pwm_l,pwm_r,vbat,fault_flags
1.3543,89,0.08907742970004619,0.0,3.13551,1.22682,0.16936,0.0,2.74084,2.74084,-9.70337,0.0,0.20426,-0.93046,0.98221,3.62254,1.76162,0.17227020859718323,0.09694249927997589,0.0,0
1.3644,90,0.09007737390002148,0.0,3.13551,1.22682,0.16936,0.0,2.77161,2.77161,-9.70337,0.0,0.20426,-0.93046,0.98221,3.65276,1.79184,0.17227020859718323,0.09694249927997589,0.0,0
1.3743,91,0.0910773681000137,0.0,3.45995,1.20909,0.16936,0.0,2.80238,2.80238,-9.70337,0.0,0.24088,-0.93046,0.97648,3.66692,1.806,0.15762677788734436,0.09982617944478989,0.0,0
1.3844,92,0.0920778233999954,0.0,3.45995,1.20909,0.16936,0.0,2.83316,2.83316,-9.70337,0.0,0.24088,-0.93046,0.97648,3.69698,1.83606,0.15762677788734436,0.09982617944478989,0.0,0
1.3944,93,0.09307780100007221,0.0,3.48273,1.27087,0.16935,0.0,2.86393,2.86393,-9.70321,0.0,0.23671,-0.93045,0.97715,3.72895,1.86806,0.15744395554065704,0.09794659912586212,0.0,0
1.4044,94,0.0940776340999946,0.0,3.48273,1.27087,0.16935,0.0,2.8947,2.8947,-9.70321,0.0,0.23671,-0.93045,0.97715,3.75901,1.89812,0.15744395554065704,0.09794659912586212,0.0,0
1.4144,95,0.09507783570006723,0.0,3.66273,1.62173,0.16935,0.0,2.92547,2.92547,-9.70321,0.0,0.21842,-0.93045,0.98005,3.79756,1.93667,0.1487727165222168,0.08125623315572739,0.0,0
1.4244,96,0.09607740950004881,0.0,3.66273,1.62173,0.16935,0.0,2.95623,2.95623,-9.70321,0.0,0.21842,-0.93045,0.98005,3.82771,1.96681,0.1487727165222168,0.08125623315572739,0.0,0
1.4344,97,0.09707744260003891,0.0,3.49698,1.35925,0.16935,0.0,2.987,2.987,-9.70321,0.0,0.22878,-0.93045,0.97844,3.85305,1.99215,0.1764441728591919,0.11373969167470932,0.0,0
1.4444,98,0.09807774979999521,0.0,3.49698,1.35925,0.16935,0.0,3.01778,3.01778,-9.70321,0.0,0.22878,-0.93045,0.97844,3.88316,2.02227,0.1764441728591919,0.11373969167470932,0.0,0
1.4543,99,0.09907742360001066,0.0,3.66373,1.74332,0.16935,0.0,3.04854,3.04854,-9.70321,0.0,0.20552,-0.93045,0.98202,3.92416,2.06327,0.16936048865318298,0.09641042351722717,0.0,0
1.4646,100,0.10008006040006877,0.0,3.66373,1.74332,0.16935,0.0,3.07939,3.07939,-9.70321,0.0,0.20552,-0.93045,0.98202,3.95446,2.09356,0.16936048865318298,0.09641042351722717,0.0,0
1.4745,101,0.10108043790005468,0.0,3.73484,1.77029,0.16935,0.0,3.11017,3.11017,-9.70321,0.0,0.21024,-0.93045,0.9813,3.98245,2.12155,0.16686193645000458,0.0961998850107193,0.0,0
1.4845,102,0.1020800488000532,0.0,3.73484,1.77029,0.16935,0.0,3.14092,3.14092,-9.70321,0.0,0.21024,-0.93045,0.9813,4.01263,2.15174,0.16686193645000458,0.0961998850107193,0.0,0
1.4948,103,0.1030831615000352,0.0,3.80285,1.65681,0.16935,0.0,3.17179,3.17179,-9.70321,0.0,0.22966,-0.93045,0.9783,4.0334,2.1725,0.1635596603155136,0.10272267460823059,0.0,0
1.5045,104,0.10408085200006098,0.0,3.80285,1.65681,0.16935,0.0,3.20249,3.20249,-9.70321,0.0,0.22966,-0.93045,0.9783,4.06343,2.20253,0.1635596603155136,0.10272267460823059,0.0,0
1.5162,105,0.10525250790005884,0.0,3.68521,1.88663,0.16935,0.0,3.23854,3.23854,-9.70321,0.0,0.19248,-0.93045,0.98392,4.11691,2.25601,0.1887401044368744,0.11046670377254486,0.0,0
1.5245,106,0.10607972380003047,0.0,3.68521,1.88663,0.16935,0.0,3.26399,3.26399,-9.70321,0.0,0.19248,-0.93045,0.98392,4.14195,2.28106,0.1887401044368744,0.11046670377254486,0.0,0
1.5346,107,0.10708169940007792,0.0,3.79937,1.90278,0.16935,0.0,3.29482,3.29482,-9.70321,0.0,0.20297,-0.93045,0.98241,4.1673,2.3064,0.18416933715343475,0.11076687276363373,0.0,0
